Email,Opportunity title,Owner name,Host,CLAIM_URL,Slug
info@chipsta.co.uk,"Chipsta Franchise","Chipsta Franchise","Chipsta","https://www.thenetworkeruk.com/opportunities/chipsta-franchise?email=info%40chipsta.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","chipsta-franchise"
info@chockshop.co.uk,"Chock Shop Franchise","Chock Shop Franchise","Chock Shop","https://www.thenetworkeruk.com/opportunities/chock-shop-franchise?email=info%40chockshop.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","chock-shop-franchise"
ameer@chocoberrycafe.com,"Chocoberry Cafe","Chocoberry Cafe","Chocoberry","https://www.thenetworkeruk.com/opportunities/chocoberry-cafe?email=ameer%40chocoberrycafe.com&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","chocoberry-cafe"
info@chopandwok.co.uk,"Chop Wok Express Franchise","Chop Wok Express Franchise","Chop Wok Express","https://www.thenetworkeruk.com/opportunities/chop-wok-express-franchise?email=info%40chopandwok.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","chop-wok-express-franchise"
social@choppaluna.com,"Choppaluna Franchise","Choppaluna Franchise","Choppaluna","https://www.thenetworkeruk.com/opportunities/choppaluna-franchise?email=social%40choppaluna.com&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","choppaluna-franchise"
franchise@clarityhomecare.co.uk,"Clarity Homecare Franchise","Clarity Homecare Franchise","Clarity Homecare","https://www.thenetworkeruk.com/opportunities/clarity-homecare-franchise?email=franchise%40clarityhomecare.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","clarity-homecare-franchise"
aidan.reihill@cleaningdoctor.net,"Cleaning Doctor Franchise","Cleaning Doctor Franchise","Cleaning Doctor","https://www.thenetworkeruk.com/opportunities/cleaning-doctor-franchise?email=aidan.reihill%40cleaningdoctor.net&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","cleaning-doctor-franchise"
stephentrezona@clearbrew.co.uk,"Clear Brew Franchise","Clear Brew Franchise","Clear Brew","https://www.thenetworkeruk.com/opportunities/clear-brew-franchise?email=stephentrezona%40clearbrew.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","clear-brew-franchise"
franchise@clipnclimb.co.uk,"Clip ‘n Climb Franchise","Clip ‘n Climb Franchise","Clip ‘n Climb","https://www.thenetworkeruk.com/opportunities/clip-n-climb-franchise?email=franchise%40clipnclimb.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","clip-n-climb-franchise"
coco@coco-tea.com,"CoCo Bubble Tea Franchise","CoCo Bubble Tea Franchise","CoCo Bubble Tea","https://www.thenetworkeruk.com/opportunities/coco-bubble-tea-franchise?email=coco%40coco-tea.com&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","coco-bubble-tea-franchise"
simon@colourbank.net,"Colourbank Franchise","Colourbank Franchise","Colourbank","https://www.thenetworkeruk.com/opportunities/colourbank-franchise?email=simon%40colourbank.net&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","colourbank-franchise"
john.james@colourfence.co.uk,"ColourFence Franchise","ColourFence Franchise","ColourFence","https://www.thenetworkeruk.com/opportunities/colourfence-franchise?email=john.james%40colourfence.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","colourfence-franchise"
jim.johnstone@costacoffee.com,"Costa Coffee Franchise","Costa Coffee Franchise","Costa Coffee","https://www.thenetworkeruk.com/opportunities/costa-coffee-franchise?email=jim.johnstone%40costacoffee.com&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","costa-coffee-franchise"
cozytealoftsj@gmail.com,"Cozy Tealofts Franchise","Cozy Tealofts Franchise","Cozy Tealofts","https://www.thenetworkeruk.com/opportunities/cozy-tealofts-franchise?email=cozytealoftsj%40gmail.com&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","cozy-tealofts-franchise"
salesuk@2inspire.com,"Crayola Imagine Arts Academy - Franchise","Crayola Imagine Arts Academy - Franchise","Crayola Imagine Arts Academy","https://www.thenetworkeruk.com/opportunities/crayola-imagine-arts-academy-franchise?email=salesuk%402inspire.com&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","crayola-imagine-arts-academy-franchise"
jemma.tonge-white@creamscafe.com,"Creams Cafe Franchise","Creams Cafe Franchise","Creams Cafe","https://www.thenetworkeruk.com/opportunities/creams-cafe-franchise?email=jemma.tonge-white%40creamscafe.com&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","creams-cafe-franchise"
franchise@thecreationstation.co.uk,"Creation Station Franchise","Creation Station Franchise","Creation Station","https://www.thenetworkeruk.com/opportunities/creation-station-franchise?email=franchise%40thecreationstation.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","creation-station-franchise"
info@dalrod.co.uk,"Dalrod Franchise","Dalrod Franchise","Dalrod","https://www.thenetworkeruk.com/opportunities/dalrod-franchise?email=info%40dalrod.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","dalrod-franchise"
