Email,Opportunity title,Owner name,Host,CLAIM_URL,Slug
mjones@mpihq.com,"Minuteman Press franchise","Minuteman Press franchise","Minuteman Press","https://www.thenetworkeruk.com/opportunities/minuteman-press-franchise?email=mjones%40mpihq.com&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","minuteman-press-franchise"
stuart@mobileinventory.co.uk,"Mobile Inventory Services Franchise","Mobile Inventory Services Franchise","Mobile Inventory Services","https://www.thenetworkeruk.com/opportunities/mobile-inventory-services-franchise?email=stuart%40mobileinventory.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","mobile-inventory-services-franchise"
mike@moneycollectors.co.uk,"Money Collectors Franchise","Money Collectors Franchise","Money Collectors","https://www.thenetworkeruk.com/opportunities/money-collectors-franchise?email=mike%40moneycollectors.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","money-collectors-franchise"
franchise@mpdn.co.uk,"Monkey Puzzle Franchise","Monkey Puzzle Franchise","Monkey Puzzle Day Nurseries","https://www.thenetworkeruk.com/opportunities/monkey-puzzle-franchise?email=franchise%40mpdn.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","monkey-puzzle-franchise"
eric.khaw@mooboo.co,"Mooboo Bubble Tea Franchise","Mooboo Bubble Tea Franchise","Mooboo Bubble Tea","https://www.thenetworkeruk.com/opportunities/mooboo-bubble-tea-franchise?email=eric.khaw%40mooboo.co&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","mooboo-bubble-tea-franchise"
liam@mtll.co.uk,"More Than Loft Ladders Franchise","More Than Loft Ladders Franchise","More Than Loft Ladders","https://www.thenetworkeruk.com/opportunities/more-than-loft-ladders-franchise?email=liam%40mtll.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","more-than-loft-ladders-franchise"
join@mrandmrsclarke.com,"Mr and Mrs Clarke Franchise","Mr and Mrs Clarke Franchise","Mr and Mrs Clarke","https://www.thenetworkeruk.com/opportunities/mr-and-mrs-clarke-franchise?email=join%40mrandmrsclarke.com&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","mr-and-mrs-clarke-franchise"
karen@mppfranchise.co.uk,"My Property Pros Franchise","My Property Pros Franchise","My Property Pros","https://www.thenetworkeruk.com/opportunities/my-property-pros-franchise?email=karen%40mppfranchise.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","my-property-pros-franchise"
leila@thegroomingcompany.com,"N.Bar Franchise","N.Bar Franchise","N.Bar","https://www.thenetworkeruk.com/opportunities/n-bar-franchise?email=leila%40thegroomingcompany.com&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","n-bar-franchise"
franchising@belvoirfranchisegroup.co.uk,"Newton Fallowell Franchise","Newton Fallowell Franchise","Newton Fallowell","https://www.thenetworkeruk.com/opportunities/newton-fallowell-franchise?email=franchising%40belvoirfranchisegroup.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","newton-fallowell-franchise"
pharrison@nicgroup.co.uk,"NIC Local Franchise","NIC Local Franchise","NIC Local","https://www.thenetworkeruk.com/opportunities/nic-local-franchise?email=pharrison%40nicgroup.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","nic-local-franchise"
rob.smith@propertyfranchise.co.uk,"Nicholas Humphries Franchise","Nicholas Humphries Franchise","Part of the Property Franchise Group","https://www.thenetworkeruk.com/opportunities/nicholas-humphries-franchise?email=rob.smith%40propertyfranchise.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","nicholas-humphries-franchise"
neil@nimble-elearning.com,"Nimble Elearning Franchise","Nimble Elearning Franchise","Nimble Elearning","https://www.thenetworkeruk.com/opportunities/nimble-elearning-franchise?email=neil%40nimble-elearning.com&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","nimble-elearning-franchise"
justinetomlinson@nolettinggo.co.uk,"No Letting Go Franchise","No Letting Go Franchise","No Letting Go","https://www.thenetworkeruk.com/opportunities/no-letting-go-franchise?email=justinetomlinson%40nolettinggo.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","no-letting-go-franchise"
franchisesupport@belvoirgroup.com,"Northwood Franchise","Northwood Franchise","Northwood","https://www.thenetworkeruk.com/opportunities/northwood-franchise?email=franchisesupport%40belvoirgroup.com&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","northwood-franchise"
franchising@nursenextdoorfranchise.co.uk,"Nurse Next Door Franchise","Nurse Next Door Franchise","Nurse Next Door","https://www.thenetworkeruk.com/opportunities/nurse-next-door-franchise?email=franchising%40nursenextdoorfranchise.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","nurse-next-door-franchise"
roisin@nursesukgroup.co.uk,"Nurses UK franchise","Nurses UK franchise","Nurses UK","https://www.thenetworkeruk.com/opportunities/nurses-uk-franchise?email=roisin%40nursesukgroup.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","nurses-uk-franchise"
nutteauk@gmail.com,"NUTTEA Nut Mylk Cafe franchise","NUTTEA Nut Mylk Cafe franchise","NUTTEA Nut Mylk Cafe","https://www.thenetworkeruk.com/opportunities/nuttea-nut-mylk-cafe-franchise?email=nutteauk%40gmail.com&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","nuttea-nut-mylk-cafe-franchise"
info@oakberryfranchise.co.uk,"Oakberry Franchise","Oakberry Franchise","Oakberry","https://www.thenetworkeruk.com/opportunities/oakberry-franchise?email=info%40oakberryfranchise.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","oakberry-franchise"
jackie.dillon@oakhousefoods.co.uk,"Oakhouse Foods Franchise","Oakhouse Foods Franchise","Oakhouse Foods","https://www.thenetworkeruk.com/opportunities/oakhouse-foods-franchise?email=jackie.dillon%40oakhousefoods.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","oakhouse-foods-franchise"
kyle.mapfumo@oathhealthcare.co.uk,"Oath Healthcare Franchise","Oath Healthcare Franchise","Oath Healthcare","https://www.thenetworkeruk.com/opportunities/oath-healthcare-franchise?email=kyle.mapfumo%40oathhealthcare.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","oath-healthcare-franchise"
fahim.khan@oodleschinese.com,"Oodles Wok Franchise","Oodles Wok Franchise","Oodles Wok","https://www.thenetworkeruk.com/opportunities/oodles-wok-franchise?email=fahim.khan%40oodleschinese.com&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","oodles-wok-franchise"
dwilliams@orangetheoryfitness.com,"Orangetheory Fitness franchise","Orangetheory Fitness franchise","Orangetheory Fitness","https://www.thenetworkeruk.com/opportunities/orangetheory-fitness-franchise?email=dwilliams%40orangetheoryfitness.com&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","orangetheory-fitness-franchise"
suzi@franchisebrands.co.uk,"Ovenclean Franchise","Ovenclean Franchise","Ovenclean","https://www.thenetworkeruk.com/opportunities/ovenclean-franchise?email=suzi%40franchisebrands.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","ovenclean-franchise"
ollie.bolwell@ovoenergy.com,"OVO Solar & Heating franchise","OVO Solar & Heating franchise","OVO Solar & Heating","https://www.thenetworkeruk.com/opportunities/ovo-solar-heating-franchise?email=ollie.bolwell%40ovoenergy.com&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","ovo-solar-heating-franchise"
paul.leach@packsend.co.uk,"PACK & SEND Franchise","PACK & SEND Franchise","PACK & SEND","https://www.thenetworkeruk.com/opportunities/pack-send-franchise?email=paul.leach%40packsend.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","pack-send-franchise"
belinda@parisbaguette.uk,"Paris Baguette Franchise","Paris Baguette Franchise","Paris Baguette","https://www.thenetworkeruk.com/opportunities/paris-baguette-franchise?email=belinda%40parisbaguette.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","paris-baguette-franchise"
kate.randall@propertyfranchise.co.uk,"Parkers Franchise","Parkers Franchise","Part of The Property Franchise Group","https://www.thenetworkeruk.com/opportunities/parkers-franchise?email=kate.randall%40propertyfranchise.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","parkers-franchise"
rohini.syal@passthekeys.co.uk,"Pass the Keys Franchise","Pass the Keys Franchise","Pass the Keys","https://www.thenetworkeruk.com/opportunities/pass-the-keys-franchise?email=rohini.syal%40passthekeys.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","pass-the-keys-franchise"
