Email,Opportunity title,Owner name,Host,CLAIM_URL,Slug
info@fun-science.org.uk,"Fun Science Franchise","Fun Science Franchise","Fun Science","https://www.thenetworkeruk.com/opportunities/fun-science-franchise?email=info%40fun-science.org.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","fun-science-franchise"
c.dickson@ashtonsfranchise.com,"Funk Coffee + Food Franchise","Funk Coffee + Food Franchise","Funk Coffee + Food","https://www.thenetworkeruk.com/opportunities/funk-coffee-food-franchise?email=c.dickson%40ashtonsfranchise.com&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","funk-coffee-food-franchise"
david.lixton@futurestarscoaching.co.uk,"Future Stars Coaching Franchise","Future Stars Coaching Franchise","Future Stars Coaching","https://www.thenetworkeruk.com/opportunities/future-stars-coaching-franchise?email=david.lixton%40futurestarscoaching.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","future-stars-coaching-franchise"
enquiries@garolla.co.uk,"Garolla Electric Garage Doors Franchise","Garolla Electric Garage Doors Franchise","Garolla","https://www.thenetworkeruk.com/opportunities/garolla-electric-garage-doors-franchise?email=enquiries%40garolla.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","garolla-electric-garage-doors-franchise"
colin@gocruiseandtravel.co.uk,"GoCruise & Travel Franchise","GoCruise & Travel Franchise","GoCruise & Travel","https://www.thenetworkeruk.com/opportunities/gocruise-travel-franchise?email=colin%40gocruiseandtravel.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","gocruise-travel-franchise"
globalfranchise@goliathtechcorp.com,"GoliathTech Screwpile Franchise","GoliathTech Screwpile Franchise","GoliathTech","https://www.thenetworkeruk.com/opportunities/goliathtech-screwpile-franchise?email=globalfranchise%40goliathtechcorp.com&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","goliathtech-screwpile-franchise"
franchise@gootopia.co.uk,"Gootopia Franchise","Gootopia Franchise","Gootopia","https://www.thenetworkeruk.com/opportunities/gootopia-franchise?email=franchise%40gootopia.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","gootopia-franchise"
info@gotchafreshtea.com.au,"Gotcha Franchise","Gotcha Franchise","Gotcha","https://www.thenetworkeruk.com/opportunities/gotcha-franchise?email=info%40gotchafreshtea.com.au&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","gotcha-franchise"
chris.mangan@greenmotion.co.uk,"Green Motion Vehicle Hire Franchise","Green Motion Vehicle Hire Franchise","Green Motion Can & Van Rental","https://www.thenetworkeruk.com/opportunities/green-motion-vehicle-hire-franchise?email=chris.mangan%40greenmotion.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","green-motion-vehicle-hire-franchise"
franchise@greenshield.group,"Green Shield Group Franchise","Green Shield Group Franchise","Green Shield Group","https://www.thenetworkeruk.com/opportunities/green-shield-group-franchise?email=franchise%40greenshield.group&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","green-shield-group-franchise"
andywearn@greeneking.co.uk,"Greene King Pubs Franchise","Greene King Pubs Franchise","Greene King Pubs","https://www.thenetworkeruk.com/opportunities/greene-king-pubs-franchise?email=andywearn%40greeneking.co.uk&intent=opportunity-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dopportunity-claim","greene-king-pubs-franchise"
